"-- Select an order --","-- Sélectionner une commande --"
"-- Select a reason --","-- Sélectionner un motif --"
"-- Select a resolution --","-- Sélectionner une résolution --"
"-- Select --","-- Sélectionner --"
"Select an order to see available items.","Sélectionnez une commande pour voir les articles disponibles."
"Loading items...","Chargement des articles..."
"No items available for return in this order.","Aucun article disponible pour le retour dans cette commande."
"An error occurred while loading order items.","Une erreur est survenue lors du chargement des articles de la commande."
"Submit Return Request","Soumettre la Demande de Retour"
"Please select an order.","Veuillez sélectionner une commande."
"Please select at least one item to return.","Veuillez sélectionner au moins un article à retourner."
"The selected order does not exist.","La commande sélectionnée n'existe pas."
"You are not authorized to create a return for this order.","Vous n'êtes pas autorisé à créer un retour pour cette commande."
"This order is not eligible for a return.","Cette commande n'est pas éligible à un retour."
"Could not determine the initial RMA status.","Impossible de déterminer le statut initial du RMA."
"Your return request has been submitted successfully.","Votre demande de retour a été soumise avec succès."
"Your return request #%1 has been submitted successfully.","Votre demande de retour #%1 a été soumise avec succès."
"Something went wrong while submitting your return request.","Une erreur est survenue lors de la soumission de votre demande de retour."
"This return request no longer exists.","Cette demande de retour n'existe plus."
"You are not authorized to view this return request.","Vous n'êtes pas autorisé à voir cette demande de retour."
"Invalid guest order session.","Session de commande invité invalide."
"No order ID provided.","Aucun ID de commande fourni."
"You are not authorized to access this order.","Vous n'êtes pas autorisé à accéder à cette commande."
"Unknown Product","Produit Inconnu"
"N/A","N/D"
"max","max"
"Guest","Invité"
"Comments","Commentaires"
"No comments yet.","Aucun commentaire pour le moment."
"No comments yet. Start the conversation!","Aucun commentaire pour le moment. Commencez la conversation !"
"Type your comment...","Écrivez votre commentaire..."
"Type your message...","Écrivez votre message..."
"Visible to Customer","Visible par le Client"
"Add Comment","Ajouter un Commentaire"
"Send","Envoyer"
"Internal Note","Note Interne"
"Support","Support"
"Invalid request.","Requête invalide."
"RMA not found.","RMA non trouvé."
"Not authorized.","Non autorisé."
"Could not save comment.","Impossible d'enregistrer le commentaire."
"Attachments","Pièces jointes"
"Allowed File Extensions","Extensions de Fichier Autorisées"
"Comma-separated list of allowed file extensions (e.g. jpg,png,pdf,mp4).","Liste d'extensions de fichier autorisées séparées par des virgules (ex. jpg,png,pdf,mp4)."
"Maximum File Size (MB)","Taille Maximale du Fichier (Mo)"
"Maximum allowed file size in megabytes per single file.","Taille maximale autorisée en mégaoctets par fichier."
"Maximum Files Per Upload","Nombre Maximum de Fichiers par Envoi"
"Maximum number of files allowed per RMA creation or comment.","Nombre maximum de fichiers autorisés par création de RMA ou commentaire."
"File not found.","Fichier non trouvé."
"Attachment not found.","Pièce jointe non trouvée."
"Could not download the file.","Impossible de télécharger le fichier."
"File cannot be saved to the temporary folder.","Le fichier ne peut pas être enregistré dans le dossier temporaire."
"File exceeds the maximum allowed size of %1 MB.","Le fichier dépasse la taille maximale autorisée de %1 Mo."
"Drag & drop files here or click to browse","Glissez-déposez les fichiers ici ou cliquez pour parcourir"
"Drag & drop files or click to attach","Glissez-déposez les fichiers ou cliquez pour joindre"
"No attachments yet.","Aucune pièce jointe pour le moment."
"File type not allowed.","Type de fichier non autorisé."
"File exceeds the maximum allowed size.","Le fichier dépasse la taille maximale autorisée."
"Upload failed.","Échec de l'envoi."
"Delete this attachment?","Supprimer cette pièce jointe ?"
"File type not allowed: %1","Type de fichier non autorisé : %1"
"File ""%1"" exceeds the maximum allowed size.","Le fichier ""%1"" dépasse la taille maximale autorisée."
"Maximum number of files reached (%1).","Nombre maximum de fichiers atteint (%1)."
"Uploading %1...","Envoi de %1..."
"Remove","Supprimer"
"Invalid attachment path.","Chemin de pièce jointe invalide."
"Could not delete attachment.","Impossible de supprimer la pièce jointe."
"This %1 no longer exists.","L'élément %1 n'existe plus."
"You saved the %1.","Sauvegarde de %1 effectuée."
"Something went wrong while saving the %1.","Une erreur est survenue lors de la sauvegarde de %1."
"We can't find the %1 to delete.","Impossible de trouver l'élément %1 à supprimer."
"You deleted the %1.","Élément %1 supprimé."
"Please correct the data sent.","Veuillez corriger les données envoyées."
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) supprimé(s)."
"%1 status(es) are used by the system and cannot be deleted.","%1 statut(s) sont utilisés par le système et ne peuvent pas être supprimés."
"Unknown","Inconnu"
"Admin","Admin"
"Are you sure you want to delete this RMA request?","Êtes-vous sûr de vouloir supprimer cette demande RMA ?"
"Are you sure you want to delete this status?","Êtes-vous sûr de vouloir supprimer ce statut ?"
"Comment text is required.","Le texte du commentaire est obligatoire."
"Customer","Client"
"Customer & Order","Client et Commande"
"Delete","Supprimer"
"Delete status","Supprimer le statut"
"Edit","Modifier"
"Email","Email"
"Item does not belong to this RMA.","L'article n'appartient pas à ce RMA."
"Manage RMA Requests","Gérer les Demandes RMA"
"New RMA Request","Nouvelle Demande RMA"
"Order email does not match.","L'email de la commande ne correspond pas."
"Order Items","Articles de la Commande"
"Order not found.","Commande non trouvée."
"Order number, email and RMA ID are required.","Numéro de commande, email et ID RMA sont requis."
"Product Name","Nom du Produit"
"Purchased From","Acheté Depuis"
"Qty Requested","Qté Demandée"
"Requested Items","Articles Demandés"
"RMA","RMA"
"RMA ID is required.","L'ID RMA est requis."
"RMA Information","Informations RMA"
"RMA Item Conditions","Conditions d'Article RMA"
"RMA Reasons","Motifs RMA"
"RMA Resolution Types","Types de Résolution RMA"
"RMA Statuses","Statuts RMA"
"Save","Enregistrer"
"Something went wrong while saving the RMA request.","Une erreur est survenue lors de la sauvegarde de la demande RMA."
"This RMA request no longer exists.","Cette demande RMA n'existe plus."
"You are not authorized to comment on this return.","Vous n'êtes pas autorisé à commenter ce retour."
"You are not authorized to view this return.","Vous n'êtes pas autorisé à voir ce retour."
"You deleted the RMA request.","La demande RMA a été supprimée."
"You saved the RMA request.","La demande RMA a été enregistrée."
"Active","Actif"
"Add New Item Condition","Ajouter un Nouvel État d'Article"
"Add New Reason","Ajouter un Nouveau Motif"
"Add New Resolution Type","Ajouter un Nouveau Type de Résolution"
"Add New RMA Request","Ajouter une Nouvelle Demande RMA"
"Add New Status","Ajouter un Nouveau Statut"
"Are you sure you want to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"Are you sure you want to delete selected items? System statuses will be skipped.","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ? Les statuts système seront ignorés."
"Are you sure you want to delete selected RMA requests?","Êtes-vous sûr de vouloir supprimer les demandes RMA sélectionnées ?"
"Code","Code"
"Customer Email","Email Client"
"Customer Name","Nom du Client"
"Delete items","Supprimer les éléments"
"ID","ID"
"Item Condition Information","Informations sur l'État de l'Article"
"Label","Libellé"
"Order ID","ID Commande"
"Processing","En cours"
"Reason Information","Informations sur le Motif"
"Resolution","Résolution"
"Resolution Type","Type de Résolution"
"Resolution Type Information","Informations sur le Type de Résolution"
"RMA Request","Demande RMA"
"Search by order number...","Rechercher par numéro de commande..."
"Sort Order","Ordre de Tri"
"Start typing an order number to search","Commencez à taper un numéro de commande pour rechercher"
"Status Information","Informations sur le Statut"
"Unique identifier. Cannot be changed after creation.","Identifiant unique. Ne peut pas être modifié après la création."
"Item ID %1 is not eligible for return on order #%2.","L'article ID %1 n'est pas éligible au retour pour la commande #%2."
"Requested qty for item %1 exceeds available qty (%2).","La qté demandée pour l'article %1 dépasse la qté disponible (%2)."
"New Request","Nouvelle demande"
"Need Details","Détails requis"
"Approved","Approuvée"
"Rejected","Refusée"
"Shipped by Customer","Expédiée par le client"
"Received by Admin","Reçue par l'administrateur"
"Canceled by Customer","Annulée par le client"
"Resolved","Résolue"
"Wrong Product Delivered","Mauvais produit livré"
"Wrong Product Ordered","Mauvais produit commandé"
"Wrong Product Description","Description du produit erronée"
"Defective/Does not Work Properly","Défectueux/Ne fonctionne pas correctement"
"Damaged During Shipping","Endommagé pendant l'expédition"
"Late Delivery of Items","Livraison tardive des articles"
"No Longer Needed/Wanted","Plus nécessaire/souhaité"
"Product Did Not Meet My Expectations","Le produit n'a pas répondu à mes attentes"
"Return","Retour"
"Exchange","Échange"
"Repair","Réparation"
"Damaged","Endommagé"
"Opened","Ouvert"
"Unopened","Non ouvert"
