"RMA - Return Management","RMA - Gestione Resi"
"Could not determine the initial RMA status.","Impossibile determinare lo stato iniziale del RMA."
"Your return request has been submitted successfully.","La tua richiesta di reso è stata inviata con successo."
"Your return request #%1 has been submitted successfully.","La tua richiesta di reso #%1 è stata inviata con successo."
"Something went wrong while submitting your return request.","Si è verificato un errore durante l'invio della tua richiesta di reso."
"This return request no longer exists.","Questa richiesta di reso non esiste più."
"You are not authorized to view this return request.","Non sei autorizzato a visualizzare questa richiesta di reso."
"Invalid guest order session.","Sessione ordine ospite non valida."
"No order ID provided.","Nessun ID ordine fornito."
"You are not authorized to access this order.","Non sei autorizzato ad accedere a questo ordine."
"Unknown Product","Prodotto Sconosciuto"
"N/A","N/D"
"max","max"
"Guest","Ospite"
"Comments","Commenti"
"No comments yet.","Nessun commento ancora."
"No comments yet. Start the conversation!","Nessun commento ancora. Inizia la conversazione!"
"Type your comment...","Scrivi il tuo commento..."
"Type your message...","Scrivi il tuo messaggio..."
"Visible to Customer","Visibile al Cliente"
"Add Comment","Aggiungi Commento"
"Send","Invia"
"Internal Note","Nota Interna"
"Support","Supporto"
"Invalid request.","Richiesta non valida."
"RMA not found.","RMA non trovato."
"Not authorized.","Non autorizzato."
"Could not save comment.","Impossibile salvare il commento."
"Attachments","Allegati"
"Allowed File Extensions","Estensioni File Consentite"
"Comma-separated list of allowed file extensions (e.g. jpg,png,pdf,mp4).","Lista separata da virgole delle estensioni file consentite (es. jpg,png,pdf,mp4)."
"Maximum File Size (MB)","Dimensione Massima File (MB)"
"Maximum allowed file size in megabytes per single file.","Dimensione massima consentita in megabyte per singolo file."
"Maximum Files Per Upload","Numero Massimo File per Caricamento"
"Maximum number of files allowed per RMA creation or comment.","Numero massimo di file consentiti per creazione RMA o commento."
"File not found.","File non trovato."
"Attachment not found.","Allegato non trovato."
"Could not download the file.","Impossibile scaricare il file."
"File cannot be saved to the temporary folder.","Il file non può essere salvato nella cartella temporanea."
"File exceeds the maximum allowed size of %1 MB.","Il file supera la dimensione massima consentita di %1 MB."
"Drag & drop files here or click to browse","Trascina i file qui o clicca per sfogliare"
"Drag & drop files or click to attach","Trascina i file o clicca per allegare"
"No attachments yet.","Nessun allegato ancora."
"File type not allowed.","Tipo di file non consentito."
"File exceeds the maximum allowed size.","Il file supera la dimensione massima consentita."
"Upload failed.","Caricamento fallito."
"Delete this attachment?","Eliminare questo allegato?"
"File type not allowed: %1","Tipo di file non consentito: %1"
"File ""%1"" exceeds the maximum allowed size.","Il file ""%1"" supera la dimensione massima consentita."
"Maximum number of files reached (%1).","Numero massimo di file raggiunto (%1)."
"Uploading %1...","Caricamento di %1..."
"Remove","Rimuovi"
"Invalid attachment path.","Percorso allegato non valido."
"Could not delete attachment.","Impossibile eliminare l'allegato."
"This %1 no longer exists.","L'elemento %1 non esiste più."
"You saved the %1.","Salvataggio %1 completato."
"Something went wrong while saving the %1.","Si è verificato un errore durante il salvataggio di %1."
"We can't find the %1 to delete.","Impossibile trovare l'elemento %1 da eliminare."
"You deleted the %1.","Elemento %1 eliminato."
"Please correct the data sent.","Correggere i dati inviati."
"A total of %1 record(s) have been deleted.","%1 record eliminati."
"%1 status(es) are used by the system and cannot be deleted.","%1 stati sono utilizzati dal sistema e non possono essere eliminati."
"Unknown","Sconosciuto"
"Admin","Admin"
"Are you sure you want to delete this RMA request?","Sei sicuro di voler eliminare questa richiesta RMA?"
"Are you sure you want to delete this status?","Sei sicuro di voler eliminare questo stato?"
"Comment text is required.","Il testo del commento è obbligatorio."
"Customer","Cliente"
"Customer & Order","Cliente e Ordine"
"Delete","Elimina"
"Delete status","Elimina stato"
"Edit","Modifica"
"Email","Email"
"Item does not belong to this RMA.","L'articolo non appartiene a questo RMA."
"Manage RMA Requests","Gestisci Richieste RMA"
"New RMA Request","Nuova Richiesta RMA"
"Order email does not match.","L'email dell'ordine non corrisponde."
"Order Items","Articoli Ordine"
"Order not found.","Ordine non trovato."
"Order number, email and RMA ID are required.","Numero ordine, email e ID RMA sono obbligatori."
"Product Name","Nome Prodotto"
"Purchased From","Acquistato Da"
"Qty Requested","Qtà Richiesta"
"Requested Items","Articoli Richiesti"
"RMA","RMA"
"RMA ID is required.","L'ID RMA è obbligatorio."
"RMA Information","Informazioni RMA"
"RMA Item Conditions","Condizioni Articolo RMA"
"RMA Reasons","Motivi RMA"
"RMA Resolution Types","Tipi di Risoluzione RMA"
"RMA Statuses","Stati RMA"
"Save","Salva"
"Something went wrong while saving the RMA request.","Si è verificato un errore durante il salvataggio della richiesta RMA."
"This RMA request no longer exists.","Questa richiesta RMA non esiste più."
"You are not authorized to comment on this return.","Non sei autorizzato a commentare questo reso."
"You are not authorized to view this return.","Non sei autorizzato a visualizzare questo reso."
"You deleted the RMA request.","La richiesta RMA è stata eliminata."
"You saved the RMA request.","La richiesta RMA è stata salvata."
"Active","Attivo"
"Add New Item Condition","Aggiungi Nuova Condizione Articolo"
"Add New Reason","Aggiungi Nuovo Motivo"
"Add New Resolution Type","Aggiungi Nuovo Tipo di Risoluzione"
"Add New RMA Request","Aggiungi Nuova Richiesta RMA"
"Add New Status","Aggiungi Nuovo Stato"
"Are you sure you want to delete selected items?","Sei sicuro di voler eliminare gli elementi selezionati?"
"Are you sure you want to delete selected items? System statuses will be skipped.","Sei sicuro di voler eliminare gli elementi selezionati? Gli stati di sistema verranno saltati."
"Are you sure you want to delete selected RMA requests?","Sei sicuro di voler eliminare le richieste RMA selezionate?"
"Code","Codice"
"Customer Email","Email Cliente"
"Customer Name","Nome Cliente"
"Delete items","Elimina elementi"
"ID","ID"
"Item Condition Information","Informazioni Condizione Articolo"
"Label","Etichetta"
"Order ID","ID Ordine"
"Processing","In Elaborazione"
"Reason Information","Informazioni Motivo"
"Resolution","Risoluzione"
"Resolution Type","Tipo di Risoluzione"
"Resolution Type Information","Informazioni Tipo di Risoluzione"
"RMA Request","Richiesta RMA"
"Search by order number...","Cerca per numero ordine..."
"Sort Order","Ordinamento"
"Start typing an order number to search","Inizia a digitare un numero ordine per cercare"
"Status Information","Informazioni Stato"
"Unique identifier. Cannot be changed after creation.","Identificativo univoco. Non modificabile dopo la creazione."
"Item ID %1 is not eligible for return on order #%2.","L'articolo ID %1 non è idoneo al reso per l'ordine #%2."
"Requested qty for item %1 exceeds available qty (%2).","La qtà richiesta per l'articolo %1 supera la qtà disponibile (%2)."
"New Request","Nuova richiesta"
"Need Details","Servono dettagli"
"Approved","Approvata"
"Rejected","Rifiutata"
"Shipped by Customer","Spedita dal cliente"
"Received by Admin","Ricevuta"
"Canceled by Customer","Annullata dal cliente"
"Resolved","Risolta"
"Wrong Product Delivered","Prodotto errato consegnato"
"Wrong Product Ordered","Prodotto errato ordinato"
"Wrong Product Description","Descrizione del prodotto errata"
"Defective/Does not Work Properly","Difettoso/Non funziona correttamente"
"Damaged During Shipping","Danneggiato durante la spedizione"
"Late Delivery of Items","Consegna degli articoli in ritardo"
"No Longer Needed/Wanted","Non più necessario/desiderato"
"Product Did Not Meet My Expectations","Il prodotto non ha soddisfatto le mie aspettative"
"Return","Reso"
"Exchange","Sostituzione"
"Repair","Riparazione"
"Damaged","Danneggiato"
"Opened","Aperto"
"Unopened","Non aperto"
