"Are you sure you want to delete selected items?","¿Estás seguro de que deseas eliminar los elementos seleccionados?"
"Are you sure you want to delete selected items? System statuses will be skipped.","¿Estás seguro de que deseas eliminar los elementos seleccionados? Los estados del sistema se omitirán."
"Are you sure you want to delete selected RMA requests?","¿Estás seguro de que deseas eliminar las solicitudes RMA seleccionadas?"
"Code","Código"
"Customer Email","Email del Cliente"
"Customer Name","Nombre del Cliente"
"Delete items","Eliminar elementos"
"ID","ID"
"Item Condition Information","Información de Condición del Artículo"
"Label","Etiqueta"
"Order ID","ID de Pedido"
"Processing","Procesando"
"Reason Information","Información del Motivo"
"Resolution","Resolución"
"Resolution Type","Tipo de Resolución"
"Resolution Type Information","Información del Tipo de Resolución"
"RMA Request","Solicitud RMA"
"Search by order number...","Buscar por número de pedido..."
"Sort Order","Orden"
"Start typing an order number to search","Empieza a escribir un número de pedido para buscar"
"Status Information","Información de Estado"
"Unique identifier. Cannot be changed after creation.","Identificador único. No se puede cambiar después de la creación."
"Item ID %1 is not eligible for return on order #%2.","El artículo ID %1 no es elegible para devolución en el pedido #%2."
"Requested qty for item %1 exceeds available qty (%2).","La cantidad solicitada para el artículo %1 supera la cantidad disponible (%2)."
"New Request","Nueva solicitud"
"Need Details","Se necesitan detalles"
"Approved","Aprobada"
"Rejected","Rechazada"
"Shipped by Customer","Enviada por el cliente"
"Received by Admin","Recibida por el administrador"
"Canceled by Customer","Cancelada por el cliente"
"Resolved","Resuelta"
"Wrong Product Delivered","Producto equivocado entregado"
"Wrong Product Ordered","Producto equivocado pedido"
"Wrong Product Description","Descripción del producto incorrecta"
"Defective/Does not Work Properly","Defectuoso/No funciona correctamente"
"Damaged During Shipping","Dañado durante el envío"
"Late Delivery of Items","Entrega tardía de los artículos"
"No Longer Needed/Wanted","Ya no se necesita/desea"
"Product Did Not Meet My Expectations","El producto no cumplió mis expectativas"
"Return","Devolución"
"Exchange","Cambio"
"Repair","Reparación"
"Damaged","Dañado"
"Opened","Abierto"
"Unopened","Sin abrir"
